1;ACRIMONY;মেজাজের রুক্ষতা;Mējājēra rukṣatā;["HARMONY"]
2;ACRYLICS;এক্রাইলিক;Ēkrā'ilika;null
3;AGENDAS;বিষয়সূচি;Biṣaẏasūci;null
4;ABHORRENT;জঘন্য;Jaghan'ya;["DESIRABLE"]
5;ABORIGINALS;প্রাসঙ্গিক;Prāsaṅgika;["NONNATIVE"]
6;ABERRATED;বিপথগামী হত্তয়া;Bipathagāmī hattaẏā;null
7;ACHROMATICALLY;বর্ণবিকারমুক্তভাবে;Barṇabikāramuktabhābē;null
8;ACUITIES;তীক্ষ্নতা;Tīkṣnatā;null
9;AERODROME;বিমানশালা;Bimānaśālā;null
10;ACCORDED;একমত হত্তয়া;Ēkamata hattaẏā;["DISAGREEMENT"]
11;ACCENTUATING;স্বরসঙ্ঘাতসহ উচ্চারণ করা;null;null
12;ACCURACIES;সঠিকতা;Saṭhikatā;null
13;ADEPT;সুদক্ষ;Sudakṣa;null
14;AFFIANCE;বাগ্দান;Bāgdāna;null
15;AISLINGS;ছাড়লেও;Chāṛalē'ō;null
16;ABSORBABLE;শোষণযোগ্য;Śōṣaṇayōgya;null
17;ABUSIVENESS;ছাত্রীরাও তাদের বক্তব্য দিতো;Chātrīrā'ō tādēra baktabya ditō;["POLITENESS"]
18;ADVANCING;আগুয়ান;Āguẏāna;["RETREATING"]
19;ALDOSTERONE;আলডেসটেরঅন;Ālaḍēsaṭēra'ana;null
20;ALGAE;শেত্তলাগুলি;Śēttalāguli;null
21;AIM;উদ্দেশ্য;Uddēśya;null
22;ADVISER;উপদেষ্টা;Upadēṣṭā;null
23;AERONAUTICAL;বৈমানিক;Baimānika;null
24;AIGRETTE;বকপাখি;Bakapākhi;null
25;AIRY;বায়বীয়;Bāẏabīẏa;["AIRLESS"]
26;ABOLITIONS;রদ;Rada;null
27;ADMIRABLE;ধন্য;Dhan'ya;["UNWORTHY"]
28;ADOBE;রৌদ্রপক্ব ইষ্টক;Raudrapakba iṣṭaka;null
29;ADULTS;প্রাপ্তবয়স্কদের;Prāptabaẏaskadēra;["JUVENILE"]
30;ACIDIFICATION;অম্লীকরণ;Amlīkaraṇa;null
31;ACTA;অ্যাক্টা;Ayākṭā;null
32;ADVISORY;উপদেষ্টা;Upadēṣṭā;null
33;AERODYNAMICS;বায়ুগতিবিদ্যা;Bāẏugatibidyā;null
34;AISLES;মিন্টু;Minṭu;null
35;ABOMINATE;ঘৃণায় পরিহার করা;Ghr̥ṇāẏa parihāra karā;["LOVE"]
36;ABYSSES;নরক;Naraka;null
37;ACQUAINTS;পরিচিত করান;Paricita karāna;null
